zip,city,state,latitude,longitude,timezone,dst
66101, Kansas City, KS,39.118054,-94.62568,-6,1
23201, Richmond, VA,37.541106,-77.431825,-5,1
37501, Memphis, TN,35.169255,-89.990415,-6,1
45201, Cincinnati, OH,39.166759,-84.53822,-5,1
31401, Savannah, GA,32.068658,-81.09258,-5,1
77840, College Station, TX,30.614647,-96.32641,-6,1
40201, Louisville, KY,38.188962,-85.676819,-5,1
37201, Nashville, TN,36.164556,-86.77738,-6,1
35201, Birmingham, AL,33.456412,-86.801904,-6,1
3101, Manchester, NH,42.989984,-71.46376,-5,1
15201, Pittsburgh, PA,40.471468,-79.95726,-5,1
12201, Albany, NY,42.614852,-73.970812,-5,1
76101, Fort Worth, TX,32.771419,-97.291484,-6,1
17101, Harrisburg, PA,40.261839,-76.88279,-5,1
55101, Saint Paul, MN,44.964852,-93.08397,-6,1
72201, Little Rock, AR,34.745692,-92.27987,-6,1
63101, Saint Louis, MO,38.631551,-90.193,-6,1
74101, Tulsa, OK,36.039147,-95.868667,-6,1
76301, Wichita Falls, TX,33.916497,-98.47132,-6,1
38801, Tupelo, MS,34.23615,-88.75665,-6,1
7101, Newark, NJ,40.736101,-74.22509,-5,1
21201, Baltimore, MD,39.295306,-76.62118,-5,1
50301, Des Moines, IA,41.672687,-93.572173,-6,1
43085, Columbus, OH,40.097796,-83.02076,-5,1
27561, Raleigh, NC,35.898538,-78.738904,-5,1
19019, Philadelphia, PA,40.001811,-75.11787,-5,1
32099, Jacksonville, FL,30.337538,-81.768622,-5,1
37901, Knoxville, TN,36.032334,-83.884804,-5,1
73101, Oklahoma City, OK,35.491608,-97.562817,-6,1
77000, Houston, TX,29.711257,-95.304936,-6,1
71101, Shreveport, LA,32.505352,-93.74861,-6,1
76701, Waco, TX,31.551955,-97.13833,-6,1
6101, Hartford, CT,41.78007,-72.677099,-5,1
32801, Orlando, FL,28.541879,-81.37446,-5,1
10001, New York, NY,40.750742,-73.99653,-5,1
75501, Texarkana, TX,33.414708,-94.08984,-6,1
62701, Springfield, IL,39.80095,-89.64999,-6,1
29401, Charleston, SC,32.779126,-79.9355,-5,1
55184, Duluth, MN,46.837172,-92.202829,-6,1
46201, Indianapolis, IN,39.775125,-86.10839,-5,0
79101, Amarillo, TX,35.206402,-101.83924,-6,1
48201, Detroit, MI,42.343787,-83.05879,-5,1
79401, Lubbock, TX,33.578935,-101.8316,-6,1
78126, San Antonio, TX,29.55302,-98.486871,-6,1
70112, New Orleans, LA,29.956804,-90.07757,-6,1
33301, Fort Lauderdale, FL,26.121114,-80.13187,-5,1
23501, Norfolk, VA,36.895911,-76.208521,-5,1
68101, Omaha, NE,41.291736,-96.171104,-6,1
28800, Asheville, NC,35.564734,-82.597992,-5,1
65602, Springfield, MO,37.859361,-92.705545,-6,1
2101, Boston, MA,42.370567,-71.026964,-5,1
39201, Jackson, MS,32.292396,-90.18328,-6,1
30301, Atlanta, GA,33.844371,-84.47405,-5,1
